resource_geoid,category,count
36081025302,food retail,0
36005014400,food retail,1
36047028700,food retail,9
36047028900,food retail,8
36005026601,food retail,1
36005026602,food retail,8
36047053500,food retail,9
36047033000,food retail,3
36047032800,food retail,2
36047048800,food retail,4
36081099900,food retail,0
36047024100,food retail,3
36081010000,food retail,0
36081086400,food retail,0
36005006900,food retail,17
36047030600,food retail,2
36047033600,food retail,0
36047030300,food retail,1
36047079602,food retail,1
36047082000,food retail,5
36047082200,food retail,1
36047000900,food retail,12
36047078200,food retail,0
36047083000,food retail,0
36047031500,food retail,8
36047019300,food retail,4
36047023300,food retail,7
36047087600,food retail,1
36047022400,food retail,7
36005034500,food retail,1
36081161700,food retail,2
36081018101,food retail,0
36081018102,food retail,0
36081115500,food retail,0
36081116700,food retail,0
36047077600,food retail,3
36047078000,food retail,1
36047054600,food retail,1
36047054800,food retail,1
36047082600,food retail,3
36047082800,food retail,10
36047023000,food retail,9
36047022800,food retail,6
36047049600,food retail,15
36047049800,food retail,0
36047050000,food retail,2
36047006400,food retail,5
36047013800,food retail,9
36047006200,food retail,5
36047014800,food retail,4
36047016600,food retail,0
36047040000,food retail,8
36047041000,food retail,4
36047023200,food retail,10
36047023400,food retail,1
36047011600,food retail,1
36047021600,food retail,1
36047009000,food retail,1
36047009200,food retail,5
36047018000,food retail,2
36085031901,food retail,0
36081042400,food retail,0
36005036700,food retail,1
36085009602,food retail,4
36047051002,food retail,3
36047079400,food retail,3
36047049000,food retail,5
36047049200,food retail,2
36081055700,food retail,4
36047029500,food retail,4
36047038300,food retail,4
36081094202,food retail,3
36047039200,food retail,2
36047058400,food retail,3
36061008400,food retail,5
36081061000,food retail,1
36081061200,food retail,0
36005033700,food retail,1
36081052100,food retail,0
36081060701,food retail,0
36047019900,food retail,3
36005026900,food retail,2
36081044400,food retail,1
36081046800,food retail,1
36005012901,food retail,8
36005015900,food retail,5
36047000200,food retail,4
36047014000,food retail,3
36081093800,food retail,5
36047031400,food retail,2
36081051700,food retail,0
36047078800,food retail,2
36047020300,food retail,3
36081111300,food retail,0
36081112300,food retail,0
36081035800,food retail,0
36081064600,food retail,0
36081047900,food retail,1
36047077200,food retail,0
36047077000,food retail,3
36047020100,food retail,7
36081081800,food retail,0
36081084602,food retail,0
36081080301,food retail,0
36081080900,food retail,0
36061014200,food retail,4
36047036100,food retail,3
36047031100,food retail,8
36047031300,food retail,0
36047096200,food retail,2
36081071305,food retail,0
36081017800,food retail,0
36081084000,food retail,0
36047061002,food retail,0
36081092200,food retail,0
36081057900,food retail,0
36047060800,food retail,5
36047061003,food retail,1
36047029200,food retail,3
36047029400,food retail,1
36047058900,food retail,3
36081058100,food retail,1
36081057700,food retail,1
36081061301,food retail,1
36085013204,food retail,3
36081053500,food retail,0
36081059500,food retail,2
36005035900,food retail,0
36005036100,food retail,2
36047062200,food retail,3
36081002200,food retail,0
36081003000,food retail,1
36081010800,food retail,0
36081011800,food retail,0
36081051600,food retail,0
36061030900,food retail,6
36081099801,food retail,2
36081018402,food retail,0
36081023600,food retail,0
36081023800,food retail,0
36081043200,food retail,0
36081095400,food retail,1
36005037400,food retail,6
36081027600,food retail,0
36081027800,food retail,0
36081026400,food retail,0
36081018200,food retail,0
36081018600,food retail,0
36005027401,food retail,3
36047011800,food retail,3
36081052200,food retail,0
36047099000,food retail,0
36081053401,food retail,0
36081048400,food retail,0
36081050000,food retail,0
36081014100,food retail,0
36081055400,food retail,0
36005024800,food retail,4
36005029600,food retail,3
36061020901,food retail,7
36081032800,food retail,0
36081068200,food retail,0
36081047600,food retail,0
36081047800,food retail,1
36047050900,food retail,2
36081029500,food retail,0
36085001100,food retail,7
36085001700,food retail,3
36081029900,food retail,0
36081152901,food retail,0
36081065000,food retail,0
